,ht,ht_wins,ht_losses,ht_l10_hits_h,ht_l10_hits_a,ht_l10_rbis_h,ht_l10_rbis_a,ht_l10_ers_h,ht_l10_ers_a,at,at_wins,at_losses,at_l10_hits_h,at_l10_hits_a,at_l10_rbis_h,at_l10_rbis_a,at_l10_ers_h,at_l10_ers_a,home_team_won
2404,SDN,65,95,78,84,39,33,37,48,ARI,81,79,68,70,34,32,48,54,False
2405,SFN,73,87,66,82,17,32,24,52,LAN,89,71,84,96,56,48,22,33,False
2406,ANA,79,81,66,82,39,46,31,64,OAK,96,64,101,91,74,53,38,43,False
2407,BAL,46,113,64,96,25,39,37,76,HOU,101,58,88,82,56,39,35,30,False
2408,BAL,46,114,65,96,26,39,38,76,HOU,102,58,88,82,56,38,35,30,False
2409,BOS,107,53,84,90,51,47,44,47,NYA,99,61,79,87,60,60,48,34,False
2410,KCA,57,103,100,79,54,36,42,35,CLE,90,70,94,98,50,49,35,37,True
2411,MIN,76,84,92,104,54,50,34,38,CHA,62,98,76,74,27,35,61,44,True
2412,SEA,87,73,70,97,35,50,43,32,TEX,67,93,77,74,39,27,48,36,True
2413,TBA,88,72,65,102,31,52,52,33,TOR,73,87,89,77,43,32,45,40,True
2414,CHN,94,67,69,91,25,48,28,41,SLN,88,73,76,83,42,54,52,38,True
2415,CIN,67,94,91,59,48,12,44,29,PIT,81,79,93,77,41,38,36,30,False
2416,COL,90,71,120,62,73,28,34,29,WAS,82,79,85,98,59,56,36,39,True
2417,MIL,94,67,73,91,47,52,27,29,DET,64,97,74,89,35,49,41,50,True
2418,NYN,76,85,74,76,42,42,24,39,MIA,63,97,77,71,32,31,31,55,True
2419,PHI,79,82,75,70,47,27,44,75,ATL,90,71,76,85,44,38,50,26,True
2420,SDN,65,96,74,84,36,33,42,48,ARI,82,79,68,72,34,34,48,55,True
2421,SFN,73,88,72,82,22,32,31,52,LAN,90,71,84,109,56,57,22,36,False
2422,ANA,79,82,68,82,40,46,36,64,OAK,97,64,101,92,74,55,38,42,True
2423,BAL,46,115,70,96,27,39,33,76,HOU,103,58,88,80,56,38,35,29,True
2424,BOS,107,54,87,90,50,47,49,47,NYA,100,61,79,92,60,64,48,37,True
2425,KCA,58,103,102,79,56,36,45,35,CLE,90,71,94,97,50,45,35,38,False
2426,MIN,77,84,102,104,61,50,31,38,CHA,62,99,76,75,27,34,61,47,True
2427,SEA,88,73,76,97,39,50,40,32,TEX,67,94,77,82,39,28,48,38,True
2428,TBA,89,72,70,102,35,52,53,33,TOR,73,88,89,77,43,34,45,37,True
2429,CHN,95,67,75,91,32,48,27,41,MIL,95,67,80,91,53,52,25,29,False
2430,LAN,91,71,84,114,56,64,22,35,COL,91,71,116,62,72,28,33,29,True
