,ht_l10_abs_h,ht_l10_abs_a,ht_l10_hits_h,ht_l10_hits_a,ht_l10_doubles_h,ht_l10_doubles_a,ht_l10_triples_h,ht_l10_triples_a,ht_l10_hrs_h,ht_l10_hrs_a,ht_l10_rbis_h,ht_l10_rbis_a,ht_l10_sac_hits_h,ht_l10_sac_hits_a,ht_l10_sac_flies_h,ht_l10_sac_flies_a,ht_l10_hbp_h,ht_l10_hbp_a,ht_l10_bb_h,ht_l10_bb_a,ht_l10_bbi_h,ht_l10_bbi_a,ht_l10_ko_h,ht_l10_ko_a,ht_l10_sb_h,ht_l10_sb_a,ht_l10_cs_h,ht_l10_cs_a,ht_l10_hit_into_dp_h,ht_l10_hit_into_dp_a,ht_l10_catcher_i_h,ht_l10_catcher_i_a,ht_l10_lob_h,ht_l10_lob_a,ht_l10_pitchers_h,ht_l10_pitchers_a,ht_l10_ers_h,ht_l10_ers_a,ht_l10_wp_h,ht_l10_wp_a,ht_l10_balks_h,ht_l10_balks_a,ht_l10_assists_h,ht_l10_assists_a,ht_l10_errors_h,ht_l10_errors_a,ht_l10_passed_balls_h,ht_l10_passed_balls_a,ht_l10_dp_h,ht_l10_dp_a,ht_l10_tp_h,ht_l10_tp_a,ht,ht_wins,ht_losses,at,at_wins,at_losses,home_team_won
1065,346,353,79,89,18,21,1,4,6,11,33,34,3,0,4,2,4,3,34,30,3,1,83,91,3,3,1,0,8,9,0,0,75,81,46,39,40,52,4,4,1,0,103,99,3,4,1,0,12,9,0,0,SFN,35,37,MIA,28,44,False
1066,324,359,80,86,15,19,1,2,14,20,36,49,0,0,4,1,2,6,28,29,1,0,97,97,3,7,2,4,4,6,0,0,68,64,37,40,23,31,6,3,0,0,86,55,8,3,0,1,9,5,0,0,WAS,38,31,NYA,46,22,False
1067,322,347,84,82,5,23,7,4,18,11,57,48,1,4,4,3,7,3,41,33,4,4,78,94,5,5,4,0,7,5,0,0,62,68,42,43,36,41,3,3,0,0,106,91,3,5,0,0,13,10,0,0,ANA,38,34,ARI,39,32,False
1068,318,331,72,75,13,20,4,3,7,6,32,32,2,2,2,2,4,2,21,24,2,1,95,101,6,5,5,2,3,7,1,0,57,58,47,46,33,35,3,6,0,1,90,87,3,11,0,1,9,15,0,0,CLE,37,33,CHA,24,46,True
1069,322,329,86,66,19,11,3,1,8,5,41,19,1,1,3,0,9,5,33,21,0,0,66,107,3,3,3,4,9,8,0,0,70,55,37,37,27,42,6,3,0,0,98,100,6,9,0,1,9,7,0,0,HOU,48,25,TBA,33,38,True
1070,326,332,84,71,14,17,2,1,15,4,54,25,3,1,2,1,10,5,45,48,0,2,93,91,9,2,3,2,8,11,0,0,71,79,38,37,57,44,2,2,2,0,107,86,4,6,1,3,13,5,0,0,KCA,22,49,TEX,29,44,False
1071,320,354,77,98,19,25,0,4,19,23,43,74,4,2,2,6,0,2,35,47,4,1,91,91,6,5,2,0,5,6,0,0,57,63,46,57,24,40,2,1,0,0,92,91,4,6,0,0,7,7,0,0,CHN,40,28,LAN,37,33,False
1072,320,348,77,94,19,24,0,5,19,23,43,71,4,4,2,6,0,3,35,48,4,1,91,94,6,5,2,0,5,6,0,0,57,64,46,62,24,43,2,2,0,0,92,92,4,6,0,0,7,7,0,0,CHN,40,29,LAN,38,33,True
1073,341,342,76,76,20,14,3,2,6,8,35,30,0,0,4,1,5,2,25,27,2,0,97,87,9,3,0,2,1,8,0,0,71,66,39,42,45,34,3,4,0,0,96,98,4,4,0,0,5,9,0,0,CIN,26,45,DET,36,37,True
1074,325,344,49,84,8,24,1,1,8,15,14,47,0,0,1,1,3,5,33,33,2,3,95,79,4,6,2,2,4,7,0,0,66,65,38,37,33,40,2,0,0,0,92,92,8,5,1,1,11,7,0,0,COL,34,38,NYN,31,38,True
